registration_no,actual_cg,last_gp,total_credit,fail_count,wgpa,avg_gp,performance_variance,gp_trend
2311001,8.25,244.0,28.0,0,8.25,8.714285714285714,0.0,Stable
2311002,4.42,126.0,28.0,3,4.42,4.5,0.0,Stable
2311003,5.83,196.0,28.0,0,5.83,7.0,0.0,Stable
2311004,5.77,186.0,28.0,0,5.77,6.642857142857143,0.0,Stable
2311005,7.41,236.0,28.0,0,7.41,8.428571428571429,0.0,Stable
2311006,6.2,216.0,28.0,0,6.2,7.714285714285714,0.0,Stable
2311007,6.71,204.0,28.0,0,6.71,7.285714285714286,0.0,Stable
2311008,7.8,252.0,28.0,0,7.8,9.0,0.0,Stable
2311009,6.64,194.0,28.0,0,6.64,6.928571428571429,0.0,Stable
2311010,8.28,242.0,28.0,0,8.28,8.642857142857142,0.0,Stable
2311011,8.38,254.0,28.0,0,8.38,9.071428571428571,0.0,Stable
2311012,8.33,262.0,28.0,0,8.33,9.357142857142858,0.0,Stable
2311013,8.14,250.0,28.0,0,8.14,8.928571428571429,0.0,Stable
2311014,8.13,240.0,28.0,0,8.13,8.571428571428571,0.0,Stable
2311015,6.7,218.0,28.0,0,6.7,7.785714285714286,0.0,Stable
2311017,7.85,232.0,28.0,0,7.85,8.285714285714286,0.0,Stable
2311018,8.73,262.0,28.0,0,8.73,9.357142857142858,0.0,Stable
2311019,7.65,242.0,28.0,0,7.65,8.642857142857142,0.0,Stable
2311020,8.77,262.0,28.0,0,8.77,9.357142857142858,0.0,Stable
2311021,6.0,142.0,28.0,2,6.0,5.071428571428571,0.0,Stable
2311022,8.4,258.0,28.0,0,8.4,9.214285714285714,0.0,Stable
2311023,7.36,248.0,28.0,0,7.36,8.857142857142858,0.0,Stable
2311024,7.59,228.0,28.0,0,7.59,8.142857142857142,0.0,Stable
2311025,4.85,132.0,28.0,2,4.85,4.714285714285714,0.0,Stable
2311026,8.7,250.0,28.0,0,8.7,8.928571428571429,0.0,Stable
2311027,9.24,274.0,28.0,0,9.24,9.785714285714286,0.0,Stable
2311028,8.78,258.0,28.0,0,8.78,9.214285714285714,0.0,Stable
2311029,8.39,250.0,28.0,0,8.39,8.928571428571429,0.0,Stable
2311030,6.53,188.0,28.0,0,6.53,6.714285714285714,0.0,Stable
2311032,8.21,232.0,28.0,0,8.21,8.285714285714286,0.0,Stable
2311034,8.51,260.0,28.0,0,8.51,9.285714285714286,0.0,Stable
2311035,7.96,248.0,28.0,0,7.96,8.857142857142858,0.0,Stable
