705 4
7.63924 7.90638 0.0847518 3.26931 
1.51304 2.0717 0.316995 3.64148 
0.899356 0.527884 0.126968 -0.592672 4
-0.0553113 -0.920202 -0.661689 -0.34179 2
0.45874 -0.437507 -0.661689 -0.592672 3
1.11966 1.01058 0.126968 -0.775748 4
-0.495927 -1.88559 -0.661689 0.34983 1
0.45874 0.0451885 -0.26736 -0.714722 3
0.0181246 -0.920202 -0.26736 -0.34857 2
-0.202183 -1.4029 -0.26736 -0.165494 2
-1.23029 -3.81637 -2.239 2.26196 1
0.385304 -1.4029 -0.661689 0.0650456 3
0.385304 -0.920202 -1.05602 -0.179056 3
-0.0553113 -0.920202 -0.26736 1.67205 3
1.11966 0.527884 -0.26736 -0.836773 4
1.1931 0.527884 -0.26736 -0.829992 4
-0.78967 -3.81637 -2.239 1.48897 1
0.164996 -0.437507 -0.26736 -0.626575 3
-1.45059 -3.81637 -1.84467 2.0382 1
0.45874 -0.920202 -1.05602 -0.470621 2
0.752484 0.0451885 -0.26736 -0.606233 3
0.752484 0.527884 0.126968 -0.667258 3
0.752484 0.0451885 0.521297 -0.484182 3
0.679048 -0.920202 -1.05602 -0.531646 3
-0.569363 -1.4029 -0.26736 1.4076 2
0.82592 0.527884 0.126968 -0.626575 3
-0.0553113 -1.4029 -0.661689 0.024362 2
0.532176 0.527884 0.126968 -0.46384 3
0.385304 0.0451885 -0.26736 -0.423157 3
-0.128747 -1.4029 -0.661689 -0.158714 2
0.899356 0.0451885 -0.661689 -0.714722 3
0.605612 0.0451885 0.126968 -0.402815 3
0.972791 0.527884 -0.26736 -0.626575 4
0.311868 -0.920202 -0.26736 -0.199397 2
0.82592 0.0451885 -0.661689 -0.6876 3
0.311868 -0.437507 -0.26736 -0.443499 3
1.04623 0.527884 -0.26736 -0.789309 4
0.532176 -0.437507 -0.26736 -0.585891 3
-0.0553113 -0.920202 -0.26736 -0.158714 3
0.532176 0.527884 0.521297 -0.46384 3
0.164996 -0.437507 0.126968 -0.504524 3
0.82592 -0.437507 -0.661689 -0.321448 3
-2.4787 -3.81637 -0.26736 3.15699 0
0.311868 -0.920202 -0.661689 -0.382473 3
-0.569363 -0.437507 0.521297 0.187096 2
0.679048 0.0451885 0.126968 -0.653697 3
0.679048 0.527884 0.126968 -0.653697 3
-0.863106 -1.88559 -0.661689 1.11604 1
-0.202183 -1.4029 -0.661689 0.200657 2
0.164996 -1.4029 -1.05602 -0.260423 2
0.752484 -0.437507 -0.661689 -0.545207 3
0.532176 0.0451885 -0.26736 -0.46384 3
0.385304 -0.437507 -0.26736 -0.179056 3
1.04623 0.527884 0.126968 -0.606233 4
-1.15685 -1.88559 -0.26736 1.63136 1
0.679048 -0.437507 -0.661689 -0.409596 3
0.311868 -0.920202 -0.661689 -0.199397 3
-0.642799 -1.4029 0.126968 0.200657 2
-0.863106 -1.88559 -0.661689 0.200657 1
-0.128747 -1.4029 -0.661689 0.207438 2
-0.716235 -1.4029 -0.26736 0.634615 1
0.385304 0.527884 0.126968 -0.362132 3
0.0181246 -0.437507 0.126968 -0.0434439 2
-0.936542 -1.4029 -0.26736 -0.240081 0
-0.349055 -0.920202 0.521297 0.288805 2
-1.6709 -3.81637 -0.26736 3.52315 0
0.385304 -0.437507 -0.26736 -0.484182 3
-0.642799 -1.4029 -0.26736 0.261683 2
1.56028 1.01058 -0.26736 -0.897798 4
0.899356 0.0451885 0.521297 -0.409596 3
0.45874 0.0451885 0.126968 -0.531646 2
0.679048 -0.437507 -0.661689 -0.470621 3
0.972791 0.0451885 -0.26736 -0.6876 3
-0.422491 -1.4029 -0.26736 0.383733 2
-0.716235 -1.88559 -0.661689 1.61102 1
0.82592 -0.437507 -0.26736 -0.504524 3
0.0181246 0.0451885 0.915625 -0.34857 2
0.972791 0.0451885 -0.661689 -0.80965 3
0.972791 0.0451885 -0.661689 -0.748625 3
-0.275619 -0.920202 -0.661689 -0.423157 2
-0.495927 -1.88559 -0.661689 0.166754 1
-1.81777 -3.81637 -0.26736 2.97392 0
-0.569363 -1.4029 -1.05602 -0.240081 1
0.45874 0.527884 -0.26736 -0.714722 3
0.238432 0.0451885 0.915625 -0.531646 3
0.532176 0.0451885 0.521297 -0.524866 3
0.0181246 -1.4029 -0.661689 -0.22652 2
0.385304 0.0451885 -0.26736 -0.545207 3
0.311868 -0.437507 -0.26736 -0.565549 3
-0.349055 -0.437507 0.521297 -0.260423 2
0.0915605 -0.437507 0.521297 -0.301106 2
1.1931 0.527884 -0.26736 -0.829992 3
0.899356 0.527884 0.126968 -0.775748 3
1.04623 0.527884 -0.26736 -0.850334 3
0.164996 0.0451885 0.521297 -0.504524 2
-0.0553113 0.0451885 0.915625 -0.219739 2
-3.13962 -3.81637 -0.26736 3.70622 0
0.45874 0.527884 0.126968 -0.775748 3
0.385304 -0.437507 -0.661689 -0.606233 3
0.679048 0.527884 -0.26736 -0.714722 3
0.752484 0.527884 -0.26736 -0.850334 3
0.82592 0.0451885 -0.26736 -0.748625 3
1.04623 0.527884 -0.26736 -0.789309 4
-0.349055 -0.920202 -0.26736 -0.199397 2
0.605612 0.0451885 0.126968 -0.585891 3
1.1931 0.527884 -0.661689 -0.829992 3
1.11966 0.527884 -0.26736 -0.836773 3
0.0181246 -0.920202 -0.26736 -0.531646 3
0.532176 0.527884 0.521297 -0.707942 3
0.45874 -0.437507 -0.661689 -0.714722 3
0.752484 0.527884 -0.26736 -0.606233 3
-2.03808 -3.81637 -0.26736 4.05203 0
1.04623 0.527884 -0.26736 -0.789309 3
0.45874 -0.437507 -0.26736 -0.531646 3
1.11966 1.01058 -0.26736 -0.653697 3
0.0181246 -1.4029 -0.661689 -0.165494 2
-0.202183 -0.920202 -0.661689 0.0175814 2
0.45874 -0.437507 -1.05602 -0.592672 3
-0.422491 -1.4029 -0.661689 0.0786067 0
0.899356 0.527884 -0.661689 -0.714722 3
0.605612 -0.437507 -1.45035 -0.46384 3
0.385304 -0.437507 0.126968 -0.423157 3
0.752484 -0.437507 -0.26736 -0.484182 3
0.752484 0.0451885 -0.26736 -0.728283 3
0.238432 -0.920202 0.126968 -0.0434439 2
0.82592 0.0451885 -0.26736 -0.748625 3
-0.422491 -0.920202 0.126968 0.0786067 1
0.679048 -0.437507 -1.05602 -0.714722 3
1.04623 0.527884 0.126968 -0.728283 3
0.311868 0.0451885 0.126968 -0.199397 2
0.972791 0.527884 0.126968 -0.748625 3
-0.78967 -0.920202 2.09861 1.42794 2
-1.30372 -1.4029 1.70428 2.70269 0
-1.6709 -1.88559 1.30995 1.26521 0
-2.18495 -1.4029 1.70428 2.70269 0
-1.15685 -0.920202 -1.45035 2.72982 1
-3.21306 -3.81637 -3.81632 3.42144 0
-0.716235 -1.4029 -1.84467 0.329489 2
-0.275619 0.0451885 -1.05602 0.126071 3
-0.863106 -0.437507 -1.05602 1.29911 2
-0.569363 -0.920202 -1.45035 -0.057005 2
1.1931 0.527884 -0.661689 -0.768967 4
0.311868 0.0451885 -0.661689 -0.565549 3
0.605612 0.0451885 -1.05602 -0.524866 3
0.311868 0.0451885 -1.05602 -0.321448 3
0.532176 0.527884 -0.661689 -0.402815 3
-0.349055 0.0451885 -1.05602 0.34983 2
0.752484 0.0451885 -0.661689 -0.789309 3
-0.936542 -1.4029 -1.84467 1.52965 1
-0.349055 -0.437507 -1.45035 0.166754 2
-0.128747 -0.920202 -1.84467 -0.0366633 2
0.238432 -0.437507 -1.45035 -0.409596 3
-0.128747 -0.437507 -1.45035 -0.0976886 3
1.33997 0.527884 -0.661689 -0.836773 4
1.1931 0.527884 -0.661689 -0.768967 4
-0.202183 -0.437507 -1.45035 -0.0434439 3
-1.52403 -1.88559 -2.239 1.29911 1
0.164996 -0.437507 -1.45035 -0.382473 3
-0.569363 0.0451885 -1.05602 1.6517 3
1.26654 0.527884 -0.661689 -0.768967 4
-1.08341 -1.4029 -2.239 1.78732 2
0.45874 0.527884 -0.661689 -0.409596 3
-0.275619 -0.437507 -1.05602 -0.11803 3
-0.202183 -0.920202 -1.45035 -0.22652 2
0.385304 -1.4029 -2.239 -0.057005 3
-3.5068 -3.81637 -0.26736 1.11604 0
-0.716235 -0.920202 -1.45035 0.390514 2
-1.6709 -1.88559 -1.84467 2.24161 1
1.33997 1.01058 -0.26736 -0.836773 4
0.311868 0.0451885 -1.05602 -0.443499 3
0.679048 0.527884 -0.661689 -0.592672 3
0.311868 -0.437507 -1.05602 -0.626575 3
-0.275619 -0.437507 -1.45035 0.370172 2
0.238432 0.0451885 -1.05602 -0.22652 3
0.605612 0.527884 0.126968 -0.585891 3
-0.422491 -0.920202 -1.45035 0.200657 2
0.0181246 -0.920202 -1.84467 -0.0434439 3
1.11966 0.527884 -0.661689 -0.775748 4
0.45874 0.0451885 -1.05602 -0.34857 3
0.899356 0.527884 -0.661689 -0.775748 4
-0.495927 -0.920202 -1.84467 1.50931 2
1.33997 1.01058 -0.26736 -0.836773 4
0.0915605 0.0451885 -0.661689 -0.484182 3
0.0915605 0.0451885 -0.661689 -0.301106 3
-0.349055 -0.437507 -1.05602 0.22778 3
0.385304 0.0451885 -1.05602 -0.301106 3
-0.349055 -0.920202 -1.05602 -0.0773468 2
1.11966 1.01058 -0.26736 -0.592672 4
1.41341 1.01058 -0.26736 -0.850334 4
0.0181246 -0.437507 -1.45035 -0.0434439 3
0.752484 0.527884 -0.26736 -0.667258 3
0.532176 0.527884 -0.26736 -0.585891 3
-1.00998 -0.920202 -1.84467 1.93649 2
0.385304 -0.920202 -1.05602 -0.423157 3
-0.202183 -0.920202 -1.45035 -0.0434439 3
1.11966 1.01058 -0.26736 -0.592672 4
-0.128747 -0.437507 -0.661689 -0.34179 3
-0.422491 -0.920202 -1.05602 -0.0434439 2
-5.04895 -3.81637 -0.26736 -0.897798 1
0.311868 -0.437507 -1.45035 -0.321448 3
-0.128747 -0.920202 -1.45035 -0.280764 2
-0.128747 -0.437507 -1.05602 -0.0976886 3
-0.128747 -0.920202 -1.05602 -0.46384 2
1.04623 0.527884 -0.661689 -0.789309 3
0.164996 -0.437507 -0.661689 -0.504524 3
-0.78967 -0.920202 -1.05602 0.207438 2
0.752484 0.527884 -0.661689 -0.545207 3
1.04623 0.527884 -0.661689 -0.606233 3
0.385304 -0.437507 -1.45035 -0.362132 3
-0.0553113 -0.920202 -1.84467 -0.0366633 3
0.0181246 0.0451885 -0.661689 -0.22652 3
0.679048 0.0451885 -1.05602 -0.592672 3
0.0915605 0.0451885 -0.661689 -0.423157 2
0.972791 1.01058 -0.26736 -0.6876 4
-0.422491 -0.920202 -1.84467 0.505784 2
0.311868 0.527884 -0.661689 -0.199397 3
-0.863106 -0.437507 -0.661689 0.322708 2
0.752484 0.0451885 -0.661689 -0.789309 3
1.41341 1.01058 -0.26736 -0.850334 4
0.311868 -0.437507 -1.45035 -0.382473 3
0.972791 1.01058 -0.26736 -0.626575 3
0.311868 1.01058 0.126968 -0.321448 3
0.238432 0.527884 -0.26736 -0.104469 3
0.0915605 -0.920202 -1.84467 -0.179056 3
-1.23029 -1.88559 -2.239 1.59068 1
-1.52403 -1.4029 -1.84467 1.17706 1
-0.936542 -0.920202 -1.84467 1.83478 2
-0.202183 -0.920202 -1.84467 0.139632 3
0.82592 0.0451885 -0.661689 -0.443499 3
-0.716235 -0.437507 -1.45035 0.329489 2
0.605612 0.527884 -0.661689 -0.646916 3
-0.642799 -1.88559 -2.239 0.200657 2
-1.6709 -3.81637 -3.81632 2.24161 1
-3.21306 -3.81637 -3.81632 3.42144 0
-0.78967 -0.920202 -1.45035 0.329489 1
-0.275619 -0.437507 -1.05602 0.00402026 3
0.164996 0.527884 -0.661689 -0.0773468 3
0.532176 0.527884 -0.661689 -0.46384 3
-0.716235 -1.4029 -1.84467 0.329489 1
-0.495927 -0.437507 -1.45035 1.50931 3
-0.642799 -0.437507 -1.45035 0.505784 3
0.238432 0.0451885 -0.661689 -0.34857 3
0.0915605 -0.437507 -1.45035 -0.057005 2
-0.128747 -0.437507 -1.45035 0.329489 3
-3.28649 -3.81637 -3.02766 3.06885 0
0.532176 0.527884 -0.661689 -0.46384 3
0.164996 -0.920202 -1.84467 -0.138372 3
0.238432 0.0451885 -1.05602 -0.22652 3
0.164996 0.527884 -0.661689 0.0447038 3
0.311868 0.0451885 -1.05602 -0.504524 3
-0.422491 -1.88559 -2.63333 0.627834 3
0.45874 0.527884 -0.661689 -0.34857 3
-0.128747 -0.437507 -1.45035 0.0853873 3
0.45874 0.527884 -0.26736 -0.287545 3
0.605612 0.527884 -0.661689 -0.46384 3
1.33997 1.01058 -0.26736 -0.836773 4
-1.00998 -1.88559 -1.84467 0.410856 1
0.45874 0.527884 0.126968 -0.592672 3
0.385304 0.527884 -0.26736 -0.545207 3
-0.495927 -0.920202 -1.45035 0.0447038 2
0.82592 0.527884 -0.26736 -0.6876 3
0.385304 -0.437507 -0.661689 -0.667258 3
0.752484 0.527884 -0.661689 -0.728283 4
0.679048 0.527884 -0.661689 -0.531646 3
0.385304 0.527884 -0.26736 -0.362132 3
-0.569363 -0.437507 -0.661689 -0.423157 2
0.605612 0.0451885 -0.661689 -0.768967 3
-0.128747 -0.437507 -1.05602 -0.280764 2
0.311868 0.527884 0.126968 -0.565549 3
0.45874 0.0451885 -1.05602 -0.470621 3
0.385304 0.0451885 -0.661689 -0.667258 3
0.532176 0.527884 -0.661689 -0.402815 3
0.752484 0.0451885 -1.05602 -0.484182 3
-0.128747 0.0451885 -0.661689 -0.219739 3
0.311868 0.0451885 -0.661689 -0.382473 3
-1.30372 -0.437507 -0.661689 0.932961 1
-1.00998 -0.920202 -1.45035 0.654957 1
0.45874 0.0451885 -1.05602 -0.34857 3
0.605612 0.0451885 -1.05602 -0.46384 3
-1.30372 -0.920202 -1.45035 1.29911 1
-1.08341 -0.920202 -1.05602 2.33654 2
-3.21306 -3.81637 -3.02766 3.42144 0
-2.62557 -1.88559 -1.84467 2.76372 0
0.45874 -0.437507 -1.45035 -0.34857 3
0.311868 0.0451885 -0.661689 -0.443499 3
0.972791 1.01058 -0.26736 -0.6876 4
0.752484 0.527884 -0.661689 -0.484182 3
0.311868 0.0451885 -0.661689 -0.443499 3
0.311868 -0.437507 -1.05602 -0.565549 3
0.45874 -0.437507 -1.05602 -0.470621 3
0.752484 0.527884 -0.661689 -0.484182 3
-2.62557 -3.81637 -1.84467 2.58064 0
-1.6709 -1.88559 -0.26736 0.838033 1
0.899356 1.01058 0.126968 -0.653697 4
0.385304 0.527884 0.126968 -0.606233 3
-0.202183 0.0451885 0.915625 -0.409596 2
0.164996 0.0451885 0.915625 -0.504524 3
0.45874 0.0451885 -0.26736 -0.775748 3
0.0915605 0.527884 0.521297 -0.484182 3
0.385304 0.0451885 -0.26736 -0.789309 3
0.385304 1.01058 0.915625 -0.667258 3
-0.642799 0.527884 1.70428 0.200657 1
0.164996 -0.437507 -0.26736 -0.565549 3
0.164996 0.0451885 0.521297 -0.443499 3
0.311868 1.01058 0.915625 -0.504524 3
1.1931 1.01058 0.521297 -0.768967 4
0.311868 0.0451885 -0.26736 -0.748625 3
0.45874 1.01058 0.521297 -0.653697 3
0.532176 0.0451885 -0.661689 -0.707942 3
0.972791 1.01058 0.521297 -0.748625 3
-0.275619 0.527884 1.30995 0.248121 2
-1.15685 0.0451885 2.88727 2.48572 1
1.1931 1.01058 0.521297 -0.707942 4
0.899356 1.01058 0.915625 -0.653697 3
1.04623 0.527884 0.126968 -0.728283 3
-0.349055 -0.437507 0.915625 -0.321448 2
0.972791 0.527884 0.126968 -0.80965 3
0.679048 0.527884 0.126968 -0.775748 3
0.752484 0.0451885 -0.26736 -0.728283 3
0.679048 0.527884 0.915625 -0.531646 3
0.532176 0.527884 1.30995 -0.402815 3
0.164996 0.0451885 -0.26736 -0.565549 2
0.605612 0.0451885 -0.26736 -0.829992 3
0.164996 0.527884 1.30995 -0.321448 3
0.752484 0.527884 0.126968 -0.728283 4
-0.716235 -0.437507 0.521297 -0.0976886 2
-0.202183 0.0451885 1.30995 -0.0434439 2
0.164996 0.0451885 0.126968 -0.626575 3
0.82592 0.527884 0.126968 -0.748625 4
0.752484 1.01058 0.915625 -0.606233 3
0.164996 0.0451885 0.521297 -0.321448 3
0.164996 0.527884 0.915625 -0.504524 3
0.679048 1.01058 0.915625 -0.653697 3
0.532176 0.527884 0.126968 -0.646916 3
0.679048 0.527884 0.126968 -0.836773 3
0.385304 1.01058 0.521297 -0.545207 3
-0.642799 -0.437507 0.521297 -0.22652 2
0.311868 0.527884 0.521297 -0.382473 3
-0.716235 -0.437507 0.915625 0.207438 2
-0.78967 -0.920202 0.126968 -0.34179 2
-0.422491 -0.437507 0.915625 0.0175814 2
-1.89121 -1.4029 0.126968 1.95683 0
-0.0553113 0.0451885 0.126968 -0.280764 3
0.0915605 0.0451885 0.126968 -0.667258 3
0.164996 0.527884 0.915625 -0.443499 3
0.164996 0.527884 0.915625 -0.0163215 3
0.45874 0.527884 0.521297 -0.653697 3
0.82592 0.527884 0.521297 -0.6876 3
-1.52403 -0.437507 -0.661689 1.66526 1
-0.716235 -0.437507 -0.26736 1.30589 2
0.605612 0.527884 0.521297 -0.585891 3
0.45874 0.0451885 -0.26736 -0.714722 3
0.0915605 0.527884 1.30995 -0.301106 3
0.238432 -0.437507 -0.26736 -0.287545 3
1.1931 1.01058 0.126968 -0.829992 4
0.899356 1.01058 0.915625 -0.653697 3
0.311868 0.527884 1.30995 -0.321448 3
0.605612 0.527884 0.126968 -0.707942 3
-0.275619 -0.437507 0.915625 0.0650456 1
0.82592 0.0451885 -0.661689 -0.80965 3
0.311868 0.527884 0.915625 -0.321448 3
0.899356 1.01058 0.521297 -0.775748 3
0.82592 1.01058 0.915625 -0.748625 3
