1795 4
7.63506 213.782 0 0.526508 
1.54737 43.3265 1 0.464816 
0.697458 0.697458 0 -0.133864 3
-2.02605 -2.02605 0 -0.960612 0
-0.41041 -0.41041 0 1.3844 1
-0.641216 -0.641216 0 0.745133 1
0.512813 0.512813 0 1.05862 3
0.0512016 0.0512016 0 2.1251 2
-0.225765 -0.225765 0 0.105862 2
0.882103 0.882103 0 1.44894 3
-0.456571 -0.456571 0 -0.511894 2
0.651297 0.651297 0 -0.352076 3
0.928264 0.928264 0 0.354809 3
1.11291 1.11291 0 1.07706 3
0.835941 0.835941 0 0.563801 3
0.605136 0.605136 0 -0.183039 3
0.0973628 0.0973628 0 1.20307 2
0.420491 0.420491 0 -0.195332 3
1.11291 1.11291 0 0.216505 4
0.651297 0.651297 0 1.0033 3
1.11291 1.11291 0 0.13045 4
-1.65676 -1.65676 0 0.864996 2
1.02059 1.02059 0 0.619123 3
0.78978 0.78978 0 2.08821 3
0.328169 0.328169 0 0.0566878 3
-1.88757 -1.88757 0 -0.840749 0
0.835941 0.835941 0 -0.640977 4
1.38988 1.38988 0 0.0413207 4
1.02059 1.02059 0 -0.198406 4
0.835941 0.835941 0 0.0259537 3
-0.595055 -0.595055 0 -0.736253 2
0.420491 0.420491 0 -0.969833 3
1.06675 1.06675 0 0.53614 4
0.78978 0.78978 0 0.797381 3
-0.0411207 -0.0411207 0 -0.748547 3
0.78978 0.78978 0 -0.385884 4
1.43604 1.43604 0 0.108936 4
-0.133443 -0.133443 0 0.606829 2
-1.51828 -1.51828 0 -0.585656 1
-0.364249 -0.364249 0 -0.806942 2
0.37433 0.37433 0 -0.0908361 3
0.143524 0.143524 0 0.345589 3
-1.79524 -1.79524 0 -0.170745 0
0.189685 0.189685 0 1.12316 2
0.651297 0.651297 0 -0.179965 3
-0.548894 -0.548894 0 0.53614 2
0.328169 0.328169 0 0.443938 3
0.420491 0.420491 0 1.54729 3
0.558974 0.558974 0 0.738986 3
-0.318088 -0.318088 0 0.40091 2
0.328169 0.328169 0 0.336369 3
0.882103 0.882103 0 1.10472 3
0.512813 0.512813 0 0.39169 3
0.37433 0.37433 0 0.2749 3
0.328169 0.328169 0 -0.330562 3
0.558974 0.558974 0 -0.315195 3
0.558974 0.558974 0 -0.207626 3
0.835941 0.835941 0 -0.210699 4
0.697458 0.697458 0 -0.521114 3
0.0512016 0.0512016 0 -0.650198 3
0.143524 0.143524 0 1.50734 2
0.697458 0.697458 0 0.102789 3
-0.133443 -0.133443 0 -0.038588 2
0.0512016 0.0512016 0 1.07091 2
1.06675 1.06675 0 0.14889 4
0.143524 0.143524 0 -0.730106 3
1.25139 1.25139 0 0.742059 4
0.605136 0.605136 0 -0.161525 3
0.189685 0.189685 0 -0.361297 3
0.651297 0.651297 0 0.960272 3
